[11930:11930:0624/083225.019029:WARNING:chrome_main_delegate.cc(742)] This is Chrome version 125.0.6422.141 (not a warning)
[11930:11930:0624/083225.134522:INFO:config_dir_policy_loader.cc(118)] Skipping mandatory platform policies because no policy file was found at: /etc/opt/chrome/policies/managed
[11930:11930:0624/083225.134608:INFO:config_dir_policy_loader.cc(118)] Skipping recommended platform policies because no policy file was found at: /etc/opt/chrome/policies/recommended
[11930:11930:0624/083225.394904:INFO:chrome_browser_cloud_management_controller.cc(168)] Starting CBCM Controller Initialization
[11930:11930:0624/083225.394993:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[11930:11930:0624/083225.694021:WARNING:browser_management_service.cc(128)] EnterpriseLogoUrl fetch failed with error code -1 and MIME type 
[11967:11967:0624/083225.829335:WARNING:sandbox_linux.cc(436)] InitializeSandbox() called with multiple threads in process gpu-process.
[11930:11930:0624/083225.840367:WARNING:bluez_dbus_manager.cc(248)] Floss manager not present, cannot set Floss enable/disable.
[11930:11930:0624/083226.474385:ERROR:object_proxy.cc(576)] Failed to call method: org.freedesktop.ScreenSaver.GetActive: object_path= /org/freedesktop/ScreenSaver: org.freedesktop.DBus.Error.NotSupported: This method is not implemented
[11930:11930:0624/083227.605491:INFO:CONSOLE(132)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/HfoRcbeJkqv.js?_nc_x=Ij3Wp8lg5Kz (132)
[11930:11930:0624/083227.661597:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'battery'.", source:  (0)
[11930:11930:0624/083227.661845:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'bluetooth'.", source:  (0)
[11930:11930:0624/083227.661916:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[11930:11930:0624/083227.662006:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[11930:11930:0624/083227.669199:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage-select-url'.", source:  (0)
[11930:11930:0624/083227.669622:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'usb-unrestricted'.", source:  (0)
[11930:11930:0624/083239.335514:INFO:CONSOLE(132)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/y1/r/HfoRcbeJkqv.js?_nc_x=Ij3Wp8lg5Kz (132)
[11930:11930:0624/083309.124037:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'battery'.", source:  (0)
[11930:11930:0624/083309.125251:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'bluetooth'.", source:  (0)
